timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 3 4 0.39738809058610436 0.0026119094138956633
3 35 43 0.39432165867875374 0.005678341321246283
3 39 47 0.3911921345738258 0.008807865426174233
3 39 55 0.39990069316469395 9.930683530606776E-5
3 73 81 0.39018469846084197 0.00981530153915805
3 78 85 0.3984540097800576 0.0015459902199423947
3 81 89 0.3917473084507657 0.008252691549234303
3 86 92 0.3917275105731172 0.0082724894268828
3 111 112 0.39554816054681247 0.004451839453187556
3 112 119 0.39304393027185436 0.006956069728145664
3 136 143 0.3897146992074582 0.010285300792541807
3 139 146 0.39698566770694044 0.003014332293059585
3 142 149 0.3960487624059969 0.003951237594003121
3 143 158 0.39631313336330865 0.003686866636691377
3 154 162 0.3937472082385748 0.006252791761425236
3 158 165 0.39836127665564985 0.001638723344350168
3 164 171 0.39147652875050987 0.008523471249490155
3 169 176 0.3906813002257632 0.009318699774236827
3 174 181 0.398625906357771 0.0013740936422290129
3 179 186 0.393962468193041 0.00603753180695904
4 14 21 0.3958736410490924 0.004126358950907627
4 86 100 0.3944270274579065 0.005572972542093546
4 139 146 0.39698566770694044 0.003014332293059585
4 160 167 0.39476187752086306 0.005238122479136964
5 46 61 0.3903587646681449 0.009641235331855125
5 78 84 0.39305607229890227 0.006943927701097752
5 136 145 0.3967818847839938 0.0032181152160062343
5 144 145 0.39362963987204297 0.006370360127957053
5 157 172 0.38956354271157406 0.01043645728842596
9 52 59 0.39554939642166315 0.004450603578336876
11 111 117 0.39999032390477707 9.67609522295465E-6
12 136 143 0.39295013358133957 0.007049866418660455
38 8 126 0.3920443803011394 0.007955619698860605
48 6 28 0.3975437891555197 0.0024562108444803332
51 106 126 0.3954839531695918 0.004516046830408238
52 12 148 0.39491394580504613 0.005086054194953893
